Date,Demand,StoreID,ProductID,store_item
4/26/23,28,storeB,item1,storeB - item1
4/26/23,14,storeC,item1,storeC - item1
4/26/23,42,storeA,item2,storeA - item2
4/26/23,7,storeB,item2,storeB - item2
4/26/23,20,storeC,item2,storeC - item2
4/26/23,38,storeA,item3,storeA - item3
4/26/23,18,storeB,item3,storeB - item3
4/26/23,22,storeC,item3,storeC - item3
4/26/23,10,storeA,item4,storeA - item4
4/26/23,10,storeB,item4,storeB - item4
4/26/23,23,storeC,item4,storeC - item4
4/27/23,26,storeA,item1,storeA - item1
4/27/23,41,storeB,item1,storeB - item1
4/27/23,27,storeC,item1,storeC - item1
4/27/23,15,storeA,item2,storeA - item2
4/27/23,14,storeB,item2,storeB - item2
4/27/23,46,storeC,item2,storeC - item2
4/27/23,50,storeA,item3,storeA - item3
4/27/23,43,storeB,item3,storeB - item3
4/27/23,2,storeC,item3,storeC - item3
4/27/23,36,storeA,item4,storeA - item4
4/27/23,50,storeB,item4,storeB - item4
4/27/23,6,storeC,item4,storeC - item4
4/28/23,34,storeA,item1,storeA - item1
4/28/23,13,storeB,item1,storeB - item1
4/28/23,16,storeC,item1,storeC - item1
4/28/23,35,storeA,item2,storeA - item2
4/28/23,49,storeB,item2,storeB - item2
4/28/23,39,storeC,item2,storeC - item2
4/28/23,3,storeA,item3,storeA - item3
4/28/23,1,storeB,item3,storeB - item3
4/28/23,5,storeC,item3,storeC - item3
4/28/23,41,storeA,item4,storeA - item4
4/28/23,3,storeB,item4,storeB - item4
4/28/23,28,storeC,item4,storeC - item4
4/29/23,46,storeA,item1,storeA - item1
4/29/23,23,storeB,item1,storeB - item1
4/29/23,25,storeC,item1,storeC - item1
4/29/23,24,storeA,item2,storeA - item2
4/29/23,44,storeB,item2,storeB - item2
4/29/23,40,storeC,item2,storeC - item2
4/29/23,28,storeA,item3,storeA - item3
4/29/23,14,storeB,item3,storeB - item3
4/29/23,44,storeC,item3,storeC - item3
4/29/23,0,storeA,item4,storeA - item4
4/29/23,24,storeB,item4,storeB - item4
4/29/23,6,storeC,item4,storeC - item4
4/30/23,6,storeA,item1,storeA - item1
4/30/23,8,storeB,item1,storeB - item1
4/30/23,7,storeC,item1,storeC - item1
4/30/23,11,storeA,item2,storeA - item2
4/30/23,33,storeB,item2,storeB - item2
4/30/23,32,storeC,item2,storeC - item2
4/30/23,47,storeA,item3,storeA - item3
4/30/23,22,storeB,item3,storeB - item3
4/30/23,23,storeC,item3,storeC - item3
4/30/23,36,storeA,item4,storeA - item4
4/30/23,34,storeB,item4,storeB - item4
4/30/23,43,storeC,item4,storeC - item4
5/1/23,14,storeA,item1,storeA - item1
5/1/23,25,storeB,item1,storeB - item1
5/1/23,41,storeC,item1,storeC - item1
5/1/23,12,storeA,item2,storeA - item2
5/1/23,50,storeB,item2,storeB - item2
5/1/23,31,storeC,item2,storeC - item2
5/1/23,38,storeA,item3,storeA - item3
5/1/23,48,storeB,item3,storeB - item3
5/1/23,31,storeC,item3,storeC - item3
5/1/23,3,storeA,item4,storeA - item4
5/1/23,29,storeB,item4,storeB - item4
5/1/23,36,storeC,item4,storeC - item4
5/2/23,27,storeA,item1,storeA - item1
5/2/23,43,storeB,item1,storeB - item1
5/2/23,43,storeC,item1,storeC - item1
5/2/23,19,storeA,item2,storeA - item2
5/2/23,29,storeB,item2,storeB - item2
5/2/23,10,storeC,item2,storeC - item2
5/2/23,27,storeA,item3,storeA - item3
5/2/23,24,storeB,item3,storeB - item3
5/2/23,38,storeC,item3,storeC - item3
5/2/23,32,storeA,item4,storeA - item4
5/2/23,0,storeB,item4,storeB - item4
5/2/23,26,storeC,item4,storeC - item4
5/3/23,40,storeA,item1,storeA - item1
5/3/23,48,storeB,item1,storeB - item1
5/3/23,48,storeC,item1,storeC - item1
5/3/23,11,storeA,item2,storeA - item2
5/3/23,38,storeB,item2,storeB - item2
5/3/23,1,storeC,item2,storeC - item2
5/3/23,2,storeA,item3,storeA - item3
5/3/23,48,storeB,item3,storeB - item3
5/3/23,36,storeC,item3,storeC - item3
5/3/23,48,storeA,item4,storeA - item4
5/3/23,16,storeB,item4,storeB - item4
5/3/23,48,storeC,item4,storeC - item4
5/4/23,37,storeA,item1,storeA - item1
5/4/23,23,storeB,item1,storeB - item1
5/4/23,4,storeC,item1,storeC - item1
5/4/23,33,storeA,item2,storeA - item2
5/4/23,5,storeB,item2,storeB - item2
5/4/23,21,storeC,item2,storeC - item2
5/4/23,10,storeA,item3,storeA - item3
5/4/23,47,storeB,item3,storeB - item3
5/4/23,15,storeC,item3,storeC - item3
5/4/23,32,storeA,item4,storeA - item4
5/4/23,8,storeB,item4,storeB - item4
5/4/23,5,storeC,item4,storeC - item4
5/5/23,0,storeA,item1,storeA - item1
5/5/23,10,storeB,item1,storeB - item1
5/5/23,27,storeC,item1,storeC - item1
5/5/23,24,storeA,item2,storeA - item2
5/5/23,49,storeB,item2,storeB - item2
5/5/23,22,storeC,item2,storeC - item2
